UF;sigla;Pop_2000;Pop_2010
Rondônia;RO;1377792;1562409
Acre;AC;557226;733559
Amazonas;AM;2813085;3483985
Roraima;RR;324152;450479
Pará;PA;6189550;7581051
Amapá;AP;475843;669526
Tocantins;TO;1155913;1383445
Maranhão;MA;5642960;6574789
Piauí;PI;2841202;3118360
Ceará;CE;7418476;8452381
Rio Grande do Norte;RN;2771538;3168027
Paraíba;PB;3439344;3766528
Pernambuco;PE;7911937;8796448
Alagoas;AL;2819172;3120494
Sergipe;SE;1781714;2068017
Bahia;BA;13066910;14016906
Minas Gerais;MG;17866402;19597330
Espírito Santo;ES;3094390;3514952
Rio de Janeiro;RJ;14367083;15989929
São Paulo;SP;36969476;41262199
Paraná;PR;9558454;10444526
Santa Catarina;SC;5349580;6248436
Rio Grande do Sul;RS;10181749;10693929
Mato Grosso do Sul;MS;2074877;2449024
Mato Grosso;MT;2502260;3035122
Goiás;GO;4996439;6003788
Distrito Federal;DF;2043169;2570160
